,Unnamed: 0,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_ICI,STATE_FULL,PARTY_FULL,CAND_FIRST,CAND_LAST,SEARCH_QUERY,SEARCH_QUERY_W_STATE,SEARCH_URLS
7500,7500,S8AK00082,"METCALFE, RAY HOMER",Senate,Challenger,Alaska,Democratic Party,Ray,Metcalfe,Ray_Metcalfe,Ray_Metcalfe_(Alaska),https://ballotpedia.org/Ray_Metcalfe
7501,7501,S8AL00308,"STRANGE, LUTHER J III",Senate,Incumbent,Alabama,Republican Party,Luther,Strange,Luther_Strange,Luther_Strange_(Alabama),https://ballotpedia.org/Luther_Strange
7502,7502,S8AL00381,"BROOKS, MO",Senate,Open seat,Alabama,Republican Party,Mo,Brooks,Mo_Brooks,Mo_Brooks_(Alabama),https://ballotpedia.org/Mo_Brooks
7503,7503,S8AZ00189,"BRITTAIN, CRAIG R",Senate,Challenger,Arizona,Republican Party,Craig,Brittain,Craig_Brittain,Craig_Brittain_(Arizona),https://ballotpedia.org/Craig_Brittain
7504,7504,S8AZ00197,"SINEMA, KYRSTEN",Senate,Incumbent,Arizona,Democratic Party,Kyrsten,Sinema,Kyrsten_Sinema,Kyrsten_Sinema_(Arizona),https://ballotpedia.org/Kyrsten_Sinema
7505,7505,S8AZ00221,"MCSALLY, MARTHA",Senate,Incumbent,Arizona,Republican Party,Martha,Mcsally,Martha_Mcsally,Martha_Mcsally_(Arizona),https://ballotpedia.org/Martha_Mcsally
7506,7506,S8CA00366,"SCHRADER, STEPHEN JAMES",Senate,Challenger,California,Republican Party,Stephen,Schrader,Stephen_Schrader,Stephen_Schrader_(California),https://ballotpedia.org/Stephen_Schrader
7507,7507,S8CA00416,"HARTSON, ALISON",Senate,Challenger,California,Democratic Party,Alison,Hartson,Alison_Hartson,Alison_Hartson_(California),https://ballotpedia.org/Alison_Hartson
7508,7508,S8CA00432,"SAAVEDRA, JAZMINA",Senate,Challenger,California,Republican Party,Jazmina,Saavedra,Jazmina_Saavedra,Jazmina_Saavedra_(California),https://ballotpedia.org/Jazmina_Saavedra
7509,7509,S8CA00515,"BRADLEY, JAMES P.",Senate,Challenger,California,Republican Party,James,Bradley,James_Bradley,James_Bradley_(California),https://ballotpedia.org/James_Bradley
